"sistema_u_otro","grupo","categoria","subcategoria","total","tasa_mortalidad"
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Onfalitis del recién nacido con o sin hemorragia leve","ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras enfermedades infecciosas y parasitarias congénitas","OTRAS ENFERMEDADES NEONATALES INFECCIOSAS O PARASITARIAS ESPECIFICADAS",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras enfermedades infecciosas y parasitarias congénitas","TOXOPLASMOSIS CONGENITA",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras infecciones especificas del período perinatal","INFECCION INTRAAMNIOTICA DEL FETO NO CLASIFICADA EN OTRA PARTE",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras infecciones especificas del período perinatal","INFECCION PROPIA DEL PERIODO PERINATAL NO ESPECIFICADA",25,0.127043087882869
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras infecciones especificas del período perinatal","OTRAS INFECCIONES ESPECIFICADAS PROPIAS DEL PERIODO PERINATAL",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Sepsis bacteriana del recién nacido","SEPSIS BACTERIANA DEL RECIEN NACIDO NO ESPECIFICADA",35,0.177860323036017
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Sepsis bacteriana del recién nacido","SEPSIS DEL RECIEN NACIDO DEBIDA A OTRAS BACTERIAS",7,0.0355720646072034
"Ciertas afecciones originadas en el período perinatal","Otros trastornos originados en el período perinatal","Convulsiones del recién nacido","CONVULSIONES DEL RECIEN NACIDO",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Otros trastornos originados en el período perinatal","Otras alteraciones cerebrales del recién nacido","ISQUEMIA CEREBRAL NEONATAL",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Enterocolitis necrotizante del feto y del recién nacido","ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO",33,0.167696876005387
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Otros trastornos perinatales del sistema digestivo","DIARREA NEONATAL NO INFECCIOSA",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Otros trastornos perinatales del sistema digestivo","OTRAS PERITONITIS NEONATALES",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Otros trastornos perinatales del sistema digestivo","OTROS TRASTORNOS PERINATALES ESPECIFICADOS DEL SISTEMA DIGESTIVO",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Otros trastornos perinatales del sistema digestivo","PERFORACION INTESTINAL PERINATAL",9,0.0457355116378329
"Ciertas afecciones originadas en el período perinatal","Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido","Trastornos transitorios del metabolismo de los carbohidratos específicos del feto y del recién nacido","OTRAS HIPOGLICEMIAS NEONATALES",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido","Trastornos transitorios del metabolismo de los carbohidratos específicos del feto y del recién nacido","SINDROME DEL RECIEN NACIDO DE MADRE DIABETICA",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Coagulación intravascular diseminada en el feto y el recién nacido","COAGULACION INTRAVASCULAR DISEMINADA EN EL FETO Y EN EL RECIEN NACIDO",3,0.0152451705459443
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Hemorragia intracraneal no traumática del feto y del recién nacido","HEMORRAGIA INTRACEREBRAL (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Hemorragia intracraneal no traumática del feto y del recién nacido","HEMORRAGIA INTRACRANEAL (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO SIN OTRA ESPECIFICACION",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Hemorragia intracraneal no traumática del feto y del recién nacido","HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO S/OTRA ESPECIFIC.",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Ictericia neonatal por otras causas y por las no especificadas","ICTERICIA NEONATAL DEBIDA A OTRA LESIÓN HEPATICA ESPECIFICADA Y A LA NO ESPECIFICADA",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Otras hemorragias neonatales","OTRAS HEMORRAGIAS FETALES Y NEONATALES ESPECIFICADAS",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Otros trastornos hematológicos perinatales","OTRAS ANEMIAS CONGÉNITAS NO CLASIFICADAS EN OTRA PARTE",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Otros trastornos hematológicos perinatales","OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA COAGULACION",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Retardo del crecimiento fetal y desnutrición fetal","PEQUEÑO PARA LA EDAD GESTACIONAL",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Retardo del crecimiento fetal y desnutrición fetal","RETARDO DEL CRECIMIENTO FETAL NO ESPECIFICADO",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte","INMATURIDAD EXTREMA",92,0.467518563408958
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte","OTROS RECIEN NACIDOS PRETERMINO",10,0.0508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Asfixia del nacimiento","ASFIXIA DEL NACIMIENTO NO ESPECIFICADA",31,0.157533428974758
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Asfixia del nacimiento","ASFIXIA DEL NACIMIENTO SEVERA",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Dificultad respiratoria del recién nacido","SINDROME DE DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO",44,0.22359583467385
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Enfermedad respiratoria crónica originada en el período perinatal","DISPLASIA BRONCOPULMÓNAR ORIGINADA EN EL PERIODO PERINATAL",8,0.0406537881225181
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal","ENFISEMA INTERSTICIAL ORIGINADO EN EL PERIODO PERINATAL",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal","OTRAS AFECCIONES RELACIONADAS CON EL ENFISEMA INTERSTICIAL ORIGINADAS EN EL PERIODO PERINATAL",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Hemorragia pulmonar originada en el período perinatal","HEMORRAGIA PULMÓNAR NO ESPECIFICADA ORIGINADA EN EL PERIODO PERINATAL",21,0.10671619382161
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Neumonía congénita","NEUMONIA CONGENITA ORGANISMO NO ESPECIFICADO",5,0.0254086175765738
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Otros problemas respiratorios del recién nacido, originados en el período perinatal","ATELECTASIA PRIMARIA DEL RECIEN NACIDO",27,0.137206534913499
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Otros problemas respiratorios del recién nacido, originados en el período perinatal","OTROS PROBLEMAS RESPIRATORIOS ESPECIFICADOS DEL RECIEN NACIDO",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Síndromes de aspiración neonatal","ASPIRACION NEONATAL DE MECONIO",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Síndromes de aspiración neonatal","SINDROME DE ASPIRACION NEONATAL SIN OTRA ESPECIFICACION",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Trastornos cardiovasculares originados en el período perinatal","DISRRITMIA CARDIACA NEONATAL",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Trastornos cardiovasculares originados en el período perinatal","HIPERTENSION NEONATAL",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Trastornos cardiovasculares originados en el período perinatal","INSUFICIENCIA CARDIACA NEONATAL",4,0.0203268940612591
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Trastornos cardiovasculares originados en el período perinatal","OTROS TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Trastornos cardiovasculares originados en el período perinatal","PERSISTENCIA DE LA CIRCULACION FETAL",7,0.0355720646072034
"Ciertas enfermedades infecciosas y parasitarias","Ciertas zoonosis bacterianas","Leptospirosis","LEPTOSPIROSIS NO ESPECIFICADA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos","ENF POR VIH RESULT.OTROS TUMORES MALIGNOS. TEJ. LINFOIDE HEMATOPOYÉTICO Y TEJ. RELACIONADOS",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos","ENFERMEDAD POR VIH RESULTANTE EN LINFOMA DE BURKITT",3,0.0152451705459443
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos","ENFERMEDAD POR VIH RESULTANTE EN OTROS TIPOS DE LINFOMA NO HODGKIN",14,0.0711441292144067
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos","ENFERMEDAD POR VIH RESULTANTE EN OTROS TUMORES MALIGNOS",9,0.0457355116378329
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos","ENFERMEDAD POR VIH RESULTANTE EN SARCOMA DE KAPOSI",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos","ENFERMEDAD POR VIH RESULTANTE EN TUMORES MALIGNOS MÚLTIPLES",3,0.0152451705459443
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN CANDIDIASIS",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN ENFERMEDAD INFECCIOSA O PARASITARIA NO ESPECIFICADA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN ENFERMEDAD POR CITOMEGALOVIRUS",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN INFECCIÓN POR MICOBACTERIAS",16,0.0813075762450362
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN INFECCIONES MÚLTIPLES",13,0.0660624056990919
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN NEUMONÍA POR PNEUMOCYSTIS CARINII",12,0.0609806821837772
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS",33,0.167696876005387
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN OTRAS INFECCIONES BACTERIANAS",11,0.0558989586684624
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN OTRAS INFECCIONES VIRALES",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN OTRAS MICOSIS",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones","ENFERMEDAD POR VIH RESULTANTE EN ANORMALIDADES INMUNOLÓGICAS Y HEMATOLÓGICAS NCOP",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones","ENFERMEDAD POR VIH RESULTANTE EN OTRAS AFECCIONES ESPECIFICADAS",14,0.0711441292144067
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas","ENFERMEDAD POR VIH RESULTANTE EN ENCEFALOPATÍA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas","ENFERMEDAD POR VIH RESULTANTE EN ENFERMEDADES MÚLTIPLES CLASIFICADAS EN OTRA PARTE",20,0.101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas","ENFERMEDAD POR VIH RESULTANTE EN SÍNDROME CAQUÉCTICO",6,0.0304903410918886
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación","ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH) SIN OTRA ESPECIFICACIÓN",48,0.243922728735109
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Enfermedad de Chagas","ENFERMEDAD DE CHAGAS (CRÓNICA) QUE AFECTA AL CORAZÓN",46,0.233759281704479
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Enfermedad de Chagas","ENFERMEDAD DE CHAGAS (CRÓNICA) QUE AFECTA AL SISTEMA DIGESTIVO",11,0.0558989586684624
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Enfermedad de Chagas","ENFERMEDAD DE CHAGAS (CRÓNICA) QUE AFECTA AL SISTEMA NERVIOSO",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Enfermedad de Chagas","ENFERMEDAD DE CHAGAS (CRÓNICA) QUE AFECTA OTROS ÓRGANOS",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Neumocistosis","NEUMOCISTOSIS",18,0.0914710232756658
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Toxoplasmosis","MENINGOENCEFALITIS DEBIDA A TOXOPLASMA",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Infecciones intestinales debidas a virus y otros organismos especificados","INFECCIÓN INTESTINAL VIRAL SIN OTRA ESPECIFICACIÓN",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras gastroenteritis y colitis de origen infeccioso y no especificado","GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO",218,1.10781572633862
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras gastroenteritis y colitis de origen infeccioso y no especificado","OTRAS GASTROENTERITIS Y COLITIS NO ESPECIFICADAS DE ORIGEN INFECCIOSO",45,0.228677558189164
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras infecciones debidas a Salmonella","ENTERITIS DEBIDA A SALMONELLA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras infecciones debidas a Salmonella","SEPTICEMIA DEBIDA A SALMONELLA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras infecciones intestinales bacterianas","ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE",36,0.182942046551332
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras infecciones intestinales bacterianas","INFECCION INTESTINAL BACTERIANA NO ESPECIFICADA",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Cisticercosis","CISTICERCOSIS DEL SISTEMA NERVIOSO CENTRAL",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Equinococosis","EQUINOCOCOSIS DEL HÍGADO NO ESPECIFICADA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Equinococosis","EQUINOCOCOSIS OTRA Y LA NO ESPECIFICADA",7,0.0355720646072034
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Equinococosis","INFECCIÓN DE OTRO ÓRGANO Y DE SITIOS MÚLTIPLES DEBIDA A ECHINOCOCCUS GRANULOSUS",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Otras helmintiasis intestinales, no clasificadas en otra parte","HELMINTIASIS INTESTINAL MIXTA",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis aguda tipo A","HEPATITIS AGUDA TIPO A SIN COMA HEPÁTICO",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis aguda tipo B","HEPATITIS AGUDA TIPO B SIN AGENTE DELTA CON COMA HEPÁTICO",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis aguda tipo B","HEPATITIS AGUDA TIPO B SIN AGENTE DELTA Y SIN COMA HEPÁTICO",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis viral crónica","HEPATITIS VIRAL TIPO C CRÓNICA",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis viral, no especificada","HEPATITIS VIRAL NO ESPECIFICADA SIN COMA HEPÁTICO",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Otras hepatitis virales agudas","HEPATITIS VIRAL AGUDA NO ESPECIFICADA",19,0.0965527467909805
"Ciertas enfermedades infecciosas y parasitarias","Infecciones con modo de transmisión predominantemente sexual","Otras sífilis y las no especificadas","SÍFILIS NO ESPECIFICADA",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Infecciones con modo de transmisión predominantemente sexual","Sífilis tardía","NEUROSIFILIS NO ESPECIFICADA",2,0.0101634470306295
