"sistema_u_otro","grupo","categoria","total","tasa_mortalidad"
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",48,0.243922728735109
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Enfermedad de Chagas",59,0.299821687403571
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Neumocistosis",18,0.0914710232756658
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios","Toxoplasmosis",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Infecciones intestinales debidas a virus y otros organismos especificados",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras gastroenteritis y colitis de origen infeccioso y no especificado",263,1.33649328452778
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras infecciones debidas a Salmonella",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales","Otras infecciones intestinales bacterianas",40,0.203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Cisticercosis",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Equinococosis",9,0.0457355116378329
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis","Otras helmintiasis intestinales, no clasificadas en otra parte",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis aguda tipo A",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis aguda tipo B",3,0.0152451705459443
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis viral crónica",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Hepatitis viral, no especificada",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral","Otras hepatitis virales agudas",19,0.0965527467909805
"Ciertas enfermedades infecciosas y parasitarias","Infecciones con modo de transmisión predominantemente sexual","Otras sífilis y las no especificadas",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Infecciones con modo de transmisión predominantemente sexual","Sífilis tardía",3,0.0152451705459443
"Ciertas enfermedades infecciosas y parasitarias","infecciones del sistema nervioso central","Encefalitis viral, no especificada",9,0.0457355116378329
"Ciertas enfermedades infecciosas y parasitarias","infecciones del sistema nervioso central","Infecciones del sistema nervioso central por virus atípico",94,0.477682010439588
"Ciertas enfermedades infecciosas y parasitarias","infecciones del sistema nervioso central","Meningitis viral",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas","Herpes zoster",8,0.0406537881225181
"Ciertas enfermedades infecciosas y parasitarias","Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas","Infecciones herpética [herpes simple]",9,0.0457355116378329
"Ciertas enfermedades infecciosas y parasitarias","Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas","Varicela",2,0.0101634470306295
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Aspergilosis",12,0.0609806821837772
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Candidiasis",25,0.127043087882869
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Cigomicosis",10,0.0508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Criptococosis",3,0.0152451705459443
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Dermatofitosis",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Histoplasmosis",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Micosis","Micosis, no especificada",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Enfermedad meningocócica",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Erisipela",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Infección bacteriana de sitio no especificado",177,0.899465062210713
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Infecciones debidas a otras micobacterias",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Listeriosis",9,0.0457355116378329
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras enfermedades bacterianas, no clasificadas en otra parte",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras septicemias",884,4.49224358753825
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades infecciosas","Otras enfermedades infecciosas y las no especificadas",25,0.127043087882869
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades virales","Enfermedad debida a virus citomegálico",7,0.0355720646072034
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades virales","Infección viral de sitio no especificado",4,0.0203268940612591
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades virales","Otras enfermedades virales, no clasificadas en otra parte",25,0.127043087882869
"Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias","Secuelas de poliomielitis",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias","Secuelas de tuberculosis",56,0.284576516857627
"Ciertas enfermedades infecciosas y parasitarias","Tuberculosis","Tuberculosis de otros órganos",9,0.0457355116378329
"Ciertas enfermedades infecciosas y parasitarias","Tuberculosis","Tuberculosis del sistema nervioso",13,0.0660624056990919
"Ciertas enfermedades infecciosas y parasitarias","Tuberculosis","Tuberculosis miliar",27,0.137206534913499
"Ciertas enfermedades infecciosas y parasitarias","Tuberculosis","Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente",183,0.929955403302602
"Códigos para propósitos especiales","Asignación provisoria de nuevas afecciones de etiología incierta","Condición de salud posterior a COVID-19",9,0.0457355116378329
"Códigos para propósitos especiales","Asignación provisoria de nuevas afecciones de etiología incierta","Uso emergente de U07",27976,142.166297064446
"Embarazo, parto y puerperio","Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto","Desprendimiento prematuro de la placenta [Abruptio placentae]",1,0.00508172351531476
"Embarazo, parto y puerperio","Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto","Otros trastornos del líquido amniótico y de las membranas",1,0.00508172351531476
"Embarazo, parto y puerperio","Complicaciones del trabajo de parto y del parto","Hemorragia postparto",1,0.00508172351531476
"Embarazo, parto y puerperio","Complicaciones principalmente relacionadas con el puerperio","Complicaciones del puerperio, no clasificadas en otra parte",1,0.00508172351531476
"Embarazo, parto y puerperio","Complicaciones principalmente relacionadas con el puerperio","Embolia obstétrica",1,0.00508172351531476
"Embarazo, parto y puerperio","Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio","Hipertensión gestacional [inducida por el embarazo] con proteinuria significativa",2,0.0101634470306295
"Embarazo, parto y puerperio","Embarazo terminado en aborto","Aborto no especificado",2,0.0101634470306295
"Embarazo, parto y puerperio","Embarazo terminado en aborto","Embarazo ectópico",4,0.0203268940612591
"Embarazo, parto y puerperio","Otras afecciones obstétricas no clasificadas en otra parte","Enfermedades maternas infecciosas y parasitarias clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio",12,0.0609806821837772
"Embarazo, parto y puerperio","Otras afecciones obstétricas no clasificadas en otra parte","Muerte materna debida a cualquier causa obstétrica que ocurre después de 42 días pero antes de un año del parto",4,0.0203268940612591
"Embarazo, parto y puerperio","Otras afecciones obstétricas no clasificadas en otra parte","Muerte obstétrica de causa no especificada",4,0.0203268940612591
"Embarazo, parto y puerperio","Otras afecciones obstétricas no clasificadas en otra parte","Otras enfermedades maternas clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio",5,0.0254086175765738
"Embarazo, parto y puerperio","Otros trastornos maternos relacionados principalmente con el embarazo","Atención a la madre por otras complicaciones principalmente relacionadas con el embarazo",1,0.00508172351531476
"Enfermedades de la piel y del tejido subcutáneo","Infecciones de la piel y del tejido subcutáneo","Absceso cutáneo, furúnculo y carbunco",16,0.0813075762450362
"Enfermedades de la piel y del tejido subcutáneo","Infecciones de la piel y del tejido subcutáneo","Celulitis",55,0.279494793342312
"Enfermedades de la piel y del tejido subcutáneo","Infecciones de la piel y del tejido subcutáneo","Pioderma",336,1.70745910114576
"Enfermedades de la piel y del tejido subcutáneo","Infecciones de la piel y del tejido subcutáneo","Síndrome estafilocócico de la piel escaldada",1,0.00508172351531476
"Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Lupus eritematoso",4,0.0203268940612591
"Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo no clasificados en otra parte",16,0.0813075762450362
"Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Úlcera de de cúbito",501,2.5459434811727
"Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Úlcera de miembro inferior, no clasificada en otra parte",5,0.0254086175765738
"Enfermedades de la piel y del tejido subcutáneo","Trastornos flictenulares","Pénfigo",7,0.0355720646072034
"Enfermedades de la piel y del tejido subcutáneo","Trastornos flictenulares","Penfigoide",4,0.0203268940612591
"Enfermedades de la piel y del tejido subcutáneo","Trastornos papuloescamosos","Psoriasis",1,0.00508172351531476
"Enfermedades de la piel y del tejido subcutáneo","Urticaria y eritema","Eritema multiforme",3,0.0152451705459443
"Enfermedades de la piel y del tejido subcutáneo","Urticaria y eritema","Otras afecciones eritematosas",1,0.00508172351531476
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias aplásticas y otras anemias","Anemia posthemorrágica aguda",40,0.203268940612591
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias aplásticas y otras anemias","Aplasia adquirida, exclusiva de la serie roja [eritroblastopenia]",1,0.00508172351531476
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias aplásticas y otras anemias","Otras anemias",238,1.20945019664491
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias aplásticas y otras anemias","Otras anemias aplásticas",64,0.325230304980145
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias hemolíticas","Anemia hemolítica adquirida",6,0.0304903410918886
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias hemolíticas","Otras anemias hemolíticas hereditarias",9,0.0457355116378329
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias hemolíticas","Trastornos falciformes",2,0.0101634470306295
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias nutricionales","Anemia por deficiencia de folatos",1,0.00508172351531476
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias nutricionales","Anemias por deficiencia de hierro",12,0.0609806821837772
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias nutricionales","Otras anemias nutricionales",8,0.0406537881225181
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Ciertos trastornos que afectan el mecanismo de la inmunidad","Inmunodeficiencia asociada con otros defectos mayores",2,0.0101634470306295
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Ciertos trastornos que afectan el mecanismo de la inmunidad","Inmunodeficiencia variable común",2,0.0101634470306295
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Ciertos trastornos que afectan el mecanismo de la inmunidad","Inmunodeficiencias combinadas",1,0.00508172351531476
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Ciertos trastornos que afectan el mecanismo de la inmunidad","Otras inmunodeficiencias",54,0.274413069826997
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Ciertos trastornos que afectan el mecanismo de la inmunidad","Otros trastornos que afectan el mecanismo de la inmunidad, no clasificados en otra parte",4,0.0203268940612591
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Ciertos trastornos que afectan el mecanismo de la inmunidad","Sarcoidosis",5,0.0254086175765738
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","Coagulación intravascular diseminada [síndrome de desfibrinación]",17,0.086389299760351
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","Otros defectos de la coagulación",83,0.421783051771125
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Defectos de la coagulación, púrpura y otras afecciones hemorrágicas","Púrpura y otras afecciones hemorrágicas",34,0.172778599520702
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Otras enfermedades de la sangre y de los órganos hematopoyéticos","Agranulocitosis",21,0.10671619382161
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Otras enfermedades de la sangre y de los órganos hematopoyéticos","Enfermedades del bazo",9,0.0457355116378329
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Otras enfermedades de la sangre y de los órganos hematopoyéticos","Otras enfermedades de la sangre y de los órganos hematopoyéticos",2,0.0101634470306295
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Otras enfermedades de la sangre y de los órganos hematopoyéticos","Otras enfermedades especificadas con la participación de los tejidos",9,0.0457355116378329
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Otras enfermedades de la sangre y de los órganos hematopoyéticos","Otros trastornos de los leucocitos",2,0.0101634470306295
"Enfermedades del oído y de la apófisis mastoides","Enfermedades del oído externo","Otitis externa",1,0.00508172351531476
"Enfermedades del oído y de la apófisis mastoides","Enfermedades del oído interno","Otros trastornos del oído interno",1,0.00508172351531476
"Enfermedades del ojo y sus anexos","Glaucoma","Glaucoma",2,0.0101634470306295
"Enfermedades del ojo y sus anexos","Trastornos del cuerpo vítreo y del globo ocular","Trastornos del globo ocular",1,0.00508172351531476
"Enfermedades del ojo y sus anexos","Trastornos del párpado, aparato lagrimal y órbita","Trastornos de la órbita",1,0.00508172351531476
"Enfermedades del sistema circulatorio","Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar","Embolia pulmonar",617,3.13542340894921
"Enfermedades del sistema circulatorio","Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar","Otras enfermedades cardiopulmonares",90,0.457355116378329
"Enfermedades del sistema circulatorio","Enfermedades cardíacas reumáticas crónicas","Enfermedades reumáticas de la válvula mitral",53,0.269331346311683
"Enfermedades del sistema circulatorio","Enfermedades cardíacas reumáticas crónicas","Enfermedades reumáticas de la válvula tricúspide",2,0.0101634470306295
"Enfermedades del sistema circulatorio","Enfermedades cardíacas reumáticas crónicas","Enfermedades valvulares múltiples",42,0.21343238764322
"Enfermedades del sistema circulatorio","Enfermedades cardíacas reumáticas crónicas","Otras enfermedades reumáticas del corazón",5,0.0254086175765738
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1742,8.85236236367832
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia intraencefálica",1585,8.0545317717739
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia subaracnoidea",513,2.60692416335647
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Infarto cerebral",433,2.20038628213129
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras enfermedades cerebrovasculares",1215,6.17429407110744
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras hemorragias intracraneales no traumáticas",271,1.3771470726503
"Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Secuelas de enfermedad cerebrovascular",1742,8.85236236367832
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Aneurisma y disección aórticos",444,2.25628524079976
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Aterosclerosis",20,0.101634470306295
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Embolia y trombosis arteriales",64,0.325230304980145
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Enfermedades de los vasos capilares",1,0.00508172351531476
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Otras enfermedades vasculares periféricas",160,0.813075762450362
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Otros aneurismas",26,0.132124811398184
"Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Otros trastornos arteriales o arteriolares",136,0.691114398082808
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Flebitis y tromboflebitis",127,0.645378886444975
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Otras embolias y trombosis venosas",27,0.137206534913499
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Otros trastornos de las venas",20,0.101634470306295
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Otros trastornos no infecciosos de los vasos y ganglios linfáticos",2,0.0101634470306295
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Trombosis de la vena porta",12,0.0609806821837772
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Várices de otros sitios",1,0.00508172351531476
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Várices esofágicas",75,0.381129263648607
"Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Venas varicosas de los miembros inferiores",34,0.172778599520702
"Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardíaca hipertensiva",2327,11.8251706201375
"Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardiorrenal hipertensiva",374,1.90056459472772
"Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad renal hipertensiva",646,3.28279339089334
"Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Hipertensión esencial (primaria)",3362,17.0847544584882
"Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Angina de pecho",4,0.0203268940612591
"Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Enfermedad isquémica crónica del corazón",1418,7.20588394471634
"Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Infarto agudo del miocardio",6833,34.7234167801458
"Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Otras enfermedades isquémicas agudas del corazón",264,1.3415750080431
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Bloqueo auriculoventricular y de rama izquierda del haz",121,0.614888545353087
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Cardiomiopatía",351,1.78368495387548
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Complicaciones y descripciones mal definidas de enfermedad cardíaca",147,0.74701335675127
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Endocarditis aguda y subaguda",115,0.584398204261198
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Endocarditis, válvula no especificada",65,0.33031202849546
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Fibrilación y aleteo auricular",921,4.6802673576049
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Insuficiencia cardíaca",1888,9.59429399691428
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Miocarditis aguda",4,0.0203268940612591
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Otras arritmias cardiacas",332,1.6871322070845
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Otras enfermedades del pericardio",37,0.188023770066646
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Otros trastornos de la conducción",18,0.0914710232756658
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Paro cardíaco",70,0.355720646072034
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Pericarditis aguda",3,0.0152451705459443
"Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Taquicardia paroxística",24,0.121961364367554
