"","sistema_u_otro","grupo","total","tasa_mortalidad"
"21","Enfermedades del sistema nervioso central","Otras enfermedades degenerativas del sistema nervioso",2,4.87032752952636
"22","Enfermedades del sistema nervioso central","Otros trastornos del sistema nervioso",1,2.43516376476318
"23","Enfermedades del sistema nervioso central","Trastornos episódicos y paroxísticos",1,2.43516376476318
"24","Enfermedades del sistema nervioso central","Trastornos extrapiramidales y del movimiento",4,9.74065505905272
"25","Enfermedades del sistema osteomuscular y del tejido conjuntivo","Otros trastornos de los tejidos blandos",1,2.43516376476318
"26","Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias",2,4.87032752952636
"27","Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo",2,4.87032752952636
"28","Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores",9,21.9164738828686
"29","Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos",5,12.1758188238159
"30","Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía",10,24.3516376476318
"31","Enfermedades del sistema respiratorio","Otras enfermedades respiratorias que afectan principalmente al intersticio",5,12.1758188238159
"32","Enfermedades del sistema respiratorio","Otras infecciones agudas de las vías respiratorias inferiores",1,2.43516376476318
"33","Enfermedades endocrinas, nutricionales y metabólicas","Desnutrición",2,4.87032752952636
"34","Enfermedades endocrinas, nutricionales y metabólicas","Diabetes mellitus",9,21.9164738828686
"35","Malformaciones congénitas, deformidades y anomalías cromosómicas","Malformaciones congénitas del sistema circulatorio",1,2.43516376476318
"36","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Causas de mortalidad mal definidas y desconocidas",22,53.57360282479
"37","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Síntomas y signos generales",2,4.87032752952636
"38","Trastornos mentales y del comportamiento","Trastornos mentales orgánicos, incluidos los trastornos sintomáticos",5,12.1758188238159
"39","Trastornos mentales y del comportamiento","Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas",2,4.87032752952636
"40","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Efectos de cuerpos extraños que penetran por orificios naturales",1,2.43516376476318
"41","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Efectos tóxicos de sustancias de procedencia principalmente no medicinal",1,2.43516376476318
"42","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Otros efectos y los no especificados de causas externas",11,26.786801412395
"43","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Secuelas de traumatismos, de envenamiento y de otras consecuencias de causas externas",2,4.87032752952636
"44","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos de la cabeza",7,17.0461463533423
"45","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos del cuello",1,2.43516376476318
"46","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos que afectan múltiples regiones del cuerpo",3,7.30549129428954
"47","Tumores [Neoplasias]","Melanoma y otros tumores malignos de la piel",1,2.43516376476318
"48","Tumores [Neoplasias]","Tumor maligno de la mama",3,7.30549129428954
"49","Tumores [Neoplasias]","Tumores [neoplasias] de comportamiento incierto o desconocido",1,2.43516376476318
"50","Tumores [Neoplasias]","Tumores [neoplasias] malignos de sitios mal definidos, secundarios y de sitios no especificados",3,7.30549129428954
"51","Tumores [Neoplasias]","Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",5,12.1758188238159
"52","Tumores [Neoplasias]","Tumores malignos de la glándula tiroides y de otras glándulas endocrinas",2,4.87032752952636
"53","Tumores [Neoplasias]","Tumores malignos de las vías urinarias",4,9.74065505905272
"54","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos",31,75.4900767076586
"55","Tumores [Neoplasias]","Tumores malignos de los órganos genitales femeninos",4,9.74065505905272
"56","Tumores [Neoplasias]","Tumores malignos de los órganos genitales masculinos",7,17.0461463533423
"57","Tumores [Neoplasias]","Tumores malignos de los órganos respiratorios e intratorácicos",3,7.30549129428954
"58","Tumores [Neoplasias]","Tumores malignos de los tejidos mesoteliales y de los tejidos blandos",1,2.43516376476318
"59","Tumores [Neoplasias]","Tumores malignos del ojo, del encéfalo y de otras partes del sistema nervioso central",1,2.43516376476318
