"","sistema_u_otro","grupo","total","tasa_mortalidad"
"48","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos de la cadera y del muslo",2,4.87032752952636
"49","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos del abdomen, de la región lumbosacra, de la columna lumbar y de la pelvis",1,2.43516376476318
"50","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos que afectan múltiples regiones del cuerpo",8,19.4813101181054
"51","Tumores [Neoplasias]","Tumor maligno de la mama",3,7.30549129428954
"52","Tumores [Neoplasias]","Tumores [neoplasias] de comportamiento incierto o desconocido",6,14.6109825885791
"53","Tumores [Neoplasias]","Tumores [neoplasias] malignos de sitios mal definidos, secundarios y de sitios no especificados",3,7.30549129428954
"54","Tumores [Neoplasias]","Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",7,17.0461463533423
"55","Tumores [Neoplasias]","Tumores malignos de las vías urinarias",5,12.1758188238159
"56","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos",28,68.184585413369
"57","Tumores [Neoplasias]","Tumores malignos de los órganos genitales femeninos",6,14.6109825885791
"58","Tumores [Neoplasias]","Tumores malignos de los órganos genitales masculinos",6,14.6109825885791
"59","Tumores [Neoplasias]","Tumores malignos de los órganos respiratorios e intratorácicos",10,24.3516376476318
"60","Tumores [Neoplasias]","Tumores malignos de los tejidos mesoteliales y de los tejidos blandos",1,2.43516376476318
"61","Tumores [Neoplasias]","Tumores malignos del labio, de la cavidad bucal y de la faringe",1,2.43516376476318
"62","Tumores [Neoplasias]","Tumores malignos del ojo, del encéfalo y de otras partes del sistema nervioso central",3,7.30549129428954
